Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-04,109,MHCL,528.00,480.20,528.00,470.60,"44,883","22,201,983.4",74,528.00(38) ,490.00,494.66,637.00,141.00,"4,237.20"
2024-03-04,110,MHL,387.20,372.30,387.20,372.30,120,"45,565",3,387.20(22.2) ,365.00,379.71,478.00,242.10,"2,385.03"
2024-03-04,111,MHNL,253.40,239.00,253.40,239.00,80,"19,546",5,253.40(15.8) ,237.60,244.33,315.00,169.00,"3,167.50"
2024-03-04,112,MKCL,989.00,950.00,989.00,950.00,740,"726,545",16,989.00(52) ,937.00,981.82,"1,319.50",178.80,"6,923.00"
2024-03-04,113,MKHC,296.00,284.00,301.20,284.00,210,"62,221",6,296.00(17.1) ,278.90,296.29,367.50,174.40,"2,960.00"
2024-03-04,114,MKHL,377.40,363.00,377.40,363.00,"3,610","1,356,814",8,377.40(21.4) ,356.00,375.85,420.90,224.00,"1,480.00"
2024-03-04,115,MKJC,502.10,494.70,502.10,487.00,703,"351,866",6,502.10(17.1) ,485.00,500.52,592.00,293.20,"1,848.45"
2024-03-04,116,MKLB,802.00,756.00,802.00,756.00,350,"266,193.2",11,802.00(60) ,742.00,760.55,847.00,526.20,"1,190.80"
2024-03-04,117,MLBBL,800.00,800.00,800.00,800.00,150,"120,000",1,800.00(15) ,785.00,800.00,"1,090.00",657.00,"1,568.02"
2024-03-04,118,MLBL,333.50,321.10,333.50,321.10,80,"26,491",3,333.50(18.6) ,314.90,331.14,379.00,281.00,"13,911.35"
2024-03-04,119,MLBS,702.70,702.70,702.70,702.70,10,"7,027",1,702.70(13.7) ,689.00,702.70,931.70,570.10,768.58
2024-03-04,120,MMFDB,525.00,515.00,525.00,515.00,20,"10,400",2,525.00(19.3) ,505.70,520.00,800.00,481.30,"3,495.26"
2024-03-04,121,MMKJL,437.00,405.00,437.00,405.00,"1,160","497,568",12,437.00(39) ,398.00,428.94,478.00,225.00,"4,370.00"
2024-03-04,122,MNBBL,357.80,350.00,357.80,349.10,"2,030","710,695",6,357.80(13.8) ,344.00,350.10,446.00,343.60,"25,213.94"
2024-03-04,123,MPFL,360.00,347.60,361.00,347.60,714,"256,269",7,360.00(19.2) ,340.80,358.92,430.00,261.00,"2,196.72"
2024-03-04,124,MSHL,627.00,602.80,627.00,602.80,30,"18,446",3,627.00(36) ,591.00,614.87,832.50,294.20,"4,692.47"
2024-03-04,125,NABBC,429.70,413.00,429.70,413.00,340,"140,753",5,429.70(24.7) ,405.00,413.98,460.00,342.10,"1,127.82"
2024-03-04,126,NABIL,458.30,432.40,458.30,432.00,"14,359","6,514,387.2",26,458.30(34.3) ,424.00,453.68,653.00,422.00,"124,002.22"
2024-03-04,127,NADEP,518.00,518.00,518.00,518.00,10,"5,180",1,518.00(10.1) ,507.90,518.00,693.00,455.00,"2,516.24"
2024-03-04,128,NBL,230.00,218.70,230.00,218.70,"10,610","2,389,281.5",17,230.00(15.5) ,214.50,225.19,280.00,213.00,"33,796.25"
